,startdate,adjusted_approve,adjusted_disapprove
0,2017-01-20,42.87057333333333,42.20823444444445
1,2017-01-21,43.733906000000005,44.895529999999994
2,2017-01-22,46.28841714285714,44.59971428571429
3,2017-01-23,45.708838333333325,42.236534166666665
4,2017-01-24,46.974131428571425,45.528284285714285
5,2017-01-25,46.60270285714285,46.47114285714286
6,2017-01-26,45.9146675,46.9303175
7,2017-01-27,44.782601428571425,46.475057142857146
8,2017-01-28,44.8154075,46.77917875
9,2017-01-29,45.97413142857142,47.685427142857144
10,2017-01-30,45.4289525,48.757795833333326
11,2017-01-31,45.53273444444445,48.44831777777778
12,2017-02-01,45.71076,46.958133333333336
13,2017-02-02,45.44446562500001,47.610042500000006
14,2017-02-03,45.59390599999999,48.01553
15,2017-02-04,45.75390599999999,48.77553
16,2017-02-05,45.79658666666666,48.40096833333333
17,2017-02-06,45.251400999999994,49.440891
18,2017-02-07,44.341501666666666,50.0234375
19,2017-02-08,45.45984571428571,48.65685714285714
20,2017-02-09,45.59788,48.70587888888889
21,2017-02-10,43.853906,50.135532
22,2017-02-11,44.858943333333336,49.56127888888889
23,2017-02-12,44.877264000000004,49.215377000000004
24,2017-02-13,43.58017571428571,50.619335
25,2017-02-14,44.47413142857142,50.48542714285714
26,2017-02-15,43.884032499999996,49.82555583333334
27,2017-02-16,43.99859545454545,50.326768181818174
28,2017-02-17,42.57434,50.45594785714285
29,2017-02-18,44.01551,48.507295
30,2017-02-19,44.60270285714285,48.75685571428571
31,2017-02-20,44.85984571428571,48.65685714285714
32,2017-02-21,45.41692666666667,48.17584888888889
33,2017-02-22,44.67413142857142,49.12828428571429
34,2017-02-23,44.60270285714285,49.62828571428571
35,2017-02-24,44.65294166666667,49.790935
36,2017-02-25,44.1779075,50.21667875
37,2017-02-26,45.18841714285713,49.242571428571424
38,2017-02-27,45.716988571428566,48.41399857142857
39,2017-02-28,45.519352222222224,48.852264444444444
40,2017-03-01,45.7725523076923,47.92911461538461
41,2017-03-02,45.40199928571428,47.73784428571429
42,2017-03-03,44.47062714285714,47.61985285714285
43,2017-03-04,46.393907999999996,46.735532
44,2017-03-05,45.88841714285714,48.599714285714285
45,2017-03-06,43.3485125,50.6805
46,2017-03-07,45.159845714285716,49.285427142857145
47,2017-03-08,45.07413142857143,49.242571428571424
48,2017-03-09,46.086768888888884,48.405878888888886
49,2017-03-10,43.76980399999999,50.06732100000001
50,2017-03-11,42.65390599999999,50.315529999999995
51,2017-03-12,41.91746,51.48014111111111
52,2017-03-13,43.02789416666667,50.95067333333333
53,2017-03-14,43.29351777777778,50.98317555555556
54,2017-03-15,43.83127428571429,50.556855714285724
55,2017-03-16,43.94420076923076,50.31529923076923
56,2017-03-17,42.557169,51.249500999999995
57,2017-03-18,44.413906,49.23553199999999
58,2017-03-19,43.78726400000001,49.495377
59,2017-03-20,42.420112222222215,51.96136777777778
60,2017-03-21,42.731274285714285,51.685427142857144
61,2017-03-22,41.06183299999999,51.550222999999995
62,2017-03-23,41.516418181818175,51.33680090909092
63,2017-03-24,39.96960833333333,52.990935
64,2017-03-25,40.89249285714286,50.42898
65,2017-03-26,41.067264,51.67537699999999
66,2017-03-27,39.94960461538461,53.67421615384616
67,2017-03-28,41.880937777777774,52.345580000000005
68,2017-03-29,42.51698857142857,52.442569999999996
69,2017-03-30,41.744049999999994,53.02676818181818
70,2017-03-31,41.5705775,53.02357
71,2017-04-01,42.613906,51.535532
72,2017-04-02,42.327264,51.335376999999994
73,2017-04-03,40.71025909090909,52.39925636363637
74,2017-04-04,41.98602,53.096708888888884
75,2017-04-05,42.466459,51.059659999999994
76,2017-04-06,44.98677000000001,49.30587888888889
77,2017-04-07,44.304254,48.971376
78,2017-04-08,45.053906,48.455529999999996
79,2017-04-09,44.28841714285714,49.74256999999999
80,2017-04-10,41.96122666666667,52.24233916666666
81,2017-04-11,42.271833,50.760222000000006
82,2017-04-12,42.99602818181818,50.58673363636364
83,2017-04-13,44.386768888888895,49.86143333333334
84,2017-04-14,43.328736,51.073913999999995
85,2017-04-15,42.8154075,50.72917875
86,2017-04-16,42.556834,52.374289999999995
87,2017-04-17,41.685086315789476,52.31819052631578
88,2017-04-18,42.77413142857142,51.17114142857143
89,2017-04-19,42.86587555555556,50.45143111111111
90,2017-04-20,43.37008909090909,50.79612181818182
91,2017-04-21,42.294253999999995,51.441377
92,2017-04-22,42.335032857142856,52.230647142857144
93,2017-04-23,42.02590583333333,51.98975333333333
94,2017-04-24,39.309,55.350256666666674
95,2017-04-25,42.902702857142856,51.428285714285714
96,2017-04-26,42.98841857142857,51.32828571428571
97,2017-04-27,43.920102222222226,50.23921222222222
98,2017-04-28,42.40893666666667,51.46445416666666
99,2017-04-29,43.80290625,50.1541775
100,2017-04-30,43.74556,50.72828428571428
101,2017-05-01,43.85984571428571,50.442569999999996
102,2017-05-02,42.14556142857143,51.81400000000001
103,2017-05-03,43.04232444444445,50.32810111111112
104,2017-05-04,41.61677727272727,52.217678181818194
105,2017-05-05,42.5705775,51.661069999999995
106,2017-05-06,41.7529075,51.92917875
107,2017-05-07,42.61698857142857,51.44257142857143
108,2017-05-08,41.73127571428571,52.25685714285715
109,2017-05-09,41.93121333333334,51.939212222222224
110,2017-05-10,40.94556,53.413999999999994
111,2017-05-11,39.37230777777777,54.737501111111115
112,2017-05-12,39.17167,54.84400999999999
113,2017-05-13,39.115154545454544,54.43352636363636
114,2017-05-14,38.77413285714285,55.67114285714286
115,2017-05-15,36.46455555555555,57.78358888888889
116,2017-05-16,38.335493636363644,55.451375454545456
